BATSMAN ,BOWLER ,RUNS
V Kohli ,S Nadeem ,51
PA Patel ,DW Steyn ,51
JH Kallis ,RP Singh ,51
DA Miller ,UT Yadav ,51
M Vijay ,R Vinay Kumar ,51
HM Amla ,SL Malinga ,51
SR Watson ,A Mishra ,51
MK Pandey ,KV Sharma ,51
S Dhawan ,JA Morkel ,51
DA Warner ,MG Johnson ,51
SE Marsh ,MM Patel ,51
S Dhawan ,L Balaji ,50
AB de Villiers ,AB Dinda ,50
CH Gayle ,AD Russell ,50
MK Pandey ,Bipul Sharma ,50
AB de Villiers ,SR Watson ,50
V Sehwag ,A Mishra ,50
AB de Villiers ,JJ Bumrah ,50
DA Warner ,AB Dinda ,50
YK Pathan ,B Kumar ,50
AT Rayudu ,RA Jadeja ,50
LMP Simmons ,KV Sharma ,50
PA Patel ,B Kumar ,50
JP Duminy ,SP Narine ,50
SR Tendulkar ,DW Steyn ,50
G Gambhir ,SK Warne ,50
RG Sharma ,Imran Tahir ,50
Yuvraj Singh ,UT Yadav ,50
SR Watson ,KV Sharma ,50
AC Gilchrist ,DW Steyn ,50
V Kohli ,S Kaushik ,50
KA Pollard ,NLTC Perera ,50
BB McCullum ,UT Yadav ,50
SE Marsh ,DJ Hooda ,50
Yuvraj Singh ,SR Watson ,50
V Kohli ,M Muralitharan ,50
RG Sharma ,Gagandeep Singh ,50
V Kohli ,CH Morris ,50
AB de Villiers ,CH Morris ,50
CH Gayle ,B Lee ,50
JP Duminy ,AB Dinda ,50
NV Ojha ,SB Jakati ,50
G Gambhir ,S Sreesanth ,50
IK Pathan ,JA Morkel ,50
AB de Villiers ,DS Kulkarni ,50
DA Warner ,SK Raina ,49
DA Warner ,KA Pollard ,49
JH Kallis ,Harbhajan Singh ,49
V Kohli ,TG Southee ,49
ST Jayasuriya ,JH Kallis ,49
SR Tendulkar ,YK Pathan ,49
SR Watson ,VY Mahesh ,49
SPD Smith ,P Kumar ,49
KD Karthik ,Iqbal Abdulla ,49
SR Watson ,DJ Bravo ,49
CH Gayle ,R Ashwin ,49
CH Gayle ,DW Steyn ,49
V Kohli ,PV Tambe ,49
RG Sharma ,DS Kulkarni ,49
S Dhawan ,Z Khan ,49
F du Plessis ,Harbhajan Singh ,49
S Badrinath ,KA Pollard ,49
M Manhas ,PP Chawla ,49
DR Smith ,KV Sharma ,49
AT Rayudu ,S Nadeem ,49
YK Pathan ,RA Jadeja ,49
SV Samson ,B Kumar ,49
MK Pandey ,IK Pathan ,48
BCJ Cutting ,SR Watson ,48
SR Watson ,R Vinay Kumar ,48
SPD Smith ,Bipul Sharma ,48
SR Watson ,A Nehra ,48
SPD Smith ,S Nadeem ,48
YK Pathan ,L Balaji ,48
DA Warner ,R Ashwin ,48
SR Tendulkar ,IK Pathan ,48
STR Binny ,Harbhajan Singh ,48
AB de Villiers ,B Kumar ,48
MC Henriques ,A Mishra ,48
R Dravid ,JA Morkel ,48
S Dhawan ,RP Singh ,48
NV Ojha ,A Mishra ,48
BB McCullum ,S Nadeem ,48
SR Tendulkar ,RP Singh ,48
MS Dhoni ,JP Faulkner ,48
DPMD Jayawardene ,Harbhajan Singh ,48
SP Narine ,S Badree ,48
S Dhawan ,DJ Bravo ,48
CJ Anderson ,AR Patel ,48
Yuvraj Singh ,SK Trivedi ,47
JA Morkel ,YK Pathan ,47
DJ Hussey ,IK Pathan ,47
JP Duminy ,YS Chahal ,47
AC Gilchrist ,JA Morkel ,47
SV Samson ,UT Yadav ,47
V Sehwag ,AD Mascarenhas ,47
MK Tiwary ,A Mishra ,47
MS Dhoni ,Harbhajan Singh ,47
RV Uthappa ,RA Jadeja ,47
YK Pathan ,Harbhajan Singh ,47
G Gambhir ,MG Johnson ,47
CH Gayle ,SL Malinga ,47
Q de Kock ,D Wiese ,47
S Dhawan ,RJ Harris ,47
MS Dhoni ,JH Kallis ,47
KD Karthik ,IK Pathan ,47
AC Gilchrist ,AB Agarkar ,47
AB de Villiers ,HH Pandya ,47
DA Warner ,NM Coulter-Nile ,47
MK Pandey ,UT Yadav ,47
DA Warner ,JA Morkel ,47
DR Smith ,Z Khan ,47
AM Rahane ,SL Malinga ,47
G Gambhir ,KV Sharma ,47
SC Ganguly ,PP Chawla ,46
AT Rayudu ,MM Sharma ,46
AB de Villiers ,A Ashish Reddy ,46
BJ Hodge ,DJ Bravo ,46
S Dhawan ,R Bhatia ,46
SE Marsh ,KA Pollard ,46
MS Dhoni ,P Kumar ,46
SE Marsh ,R Tewatia ,46
LMP Simmons ,AR Patel ,46
V Kohli ,R Sharma ,46
LRPL Taylor ,Harbhajan Singh ,46
DA Warner ,I Sharma ,46
Harbhajan Singh ,DJ Bravo ,46
KA Pollard ,A Nehra ,46
DPMD Jayawardene ,L Balaji ,46
MS Dhoni ,M Kartik ,46
DA Miller ,KA Pollard ,46
MEK Hussey ,SK Trivedi ,46
HH Gibbs ,P Kumar ,46
S Dhawan ,PP Chawla ,46
KD Karthik ,A Nehra ,46
CH Gayle ,JH Kallis ,46
STR Binny ,DJ Bravo ,46
SS Tiwary ,A Mishra ,46
AC Gilchrist ,R Ashwin ,46
JH Kallis ,UT Yadav ,46
R Dravid ,R Vinay Kumar ,46
MS Dhoni ,AB Agarkar ,46
S Dhawan ,SK Trivedi ,46
CH Gayle ,A Mishra ,45
V Kohli ,P Negi ,45
RG Sharma ,SK Trivedi ,45
KD Karthik ,PP Ojha ,45
SV Samson ,R Vinay Kumar ,45
DA Warner ,YK Pathan ,45
JH Kallis ,KA Pollard ,45
DJ Bravo ,PP Chawla ,45
LRPL Taylor ,A Mishra ,45
JH Kallis ,DL Vettori ,45
SR Watson ,CH Morris ,45
RV Uthappa ,M Morkel ,45
